shell_id,L,primitive_id,exponent,coefficient
0,S,0,351.4214767,0.1543289673
0,S,1,64.01186067,0.5353281423
0,S,2,17.32410761,0.4446345422
1,S,0,18.89939621,-0.09996722919
1,S,1,4.391813233,0.3995128261
1,S,2,1.42835397,0.7001154689
2,P,0,18.89939621,0.155916275
2,P,1,4.391813233,0.6076837186
2,P,2,1.42835397,0.3919573931
3,S,0,1.395448293,-0.219620369
3,S,1,0.3893265318,0.2255954336
3,S,2,0.1523797659,0.900398426
4,P,0,1.395448293,0.01058760429
4,P,1,0.3893265318,0.5951670053
4,P,2,0.1523797659,0.462001012
